benchmark,method,prediction_dir,sample_count,psnr_mean,psnr_std,rmse_mean,rmse_std,ssim_mean,ssim_std,gradient_ratio_mean,gradient_ratio_std,lpips_mean,lpips_std,perceptual_ratio_mean,perceptual_ratio_std
msg-mtg,Bicubic,/share/data/drive_3/hanan/iclr2026_workshop/msg_mtg/bicubic_msg_mtg_pred,500,15.600690304333199,4.6382954200029625,0.19112897776645446,0.10521415637960604,0.6470302701592445,0.1837617577670173,0.18566583262706923,0.11528429184998149,0.6168701321184635,0.14972878793074113,1.0,0.0
msg-mtg,K1,/share/data/drive_3/hanan/iclr2026_workshop/journal_ablation/msg_stage2_50k_k1,500,23.526183785684925,3.7697638707953858,0.07393472741512123,0.04044491698235015,0.7332840299010277,0.10564671094174125,0.8772988062456266,0.25083733753678394,0.295301903128624,0.090424814889376,0.4903570914001805,0.12719647229558306
msg-mtg,K5,/share/data/drive_3/hanan/iclr2026_workshop/journal_ablation/msg_stage2_50k_k5,500,21.83502133386512,3.243361080151472,0.08727308204446199,0.039295490478266956,0.6820407025814056,0.10456773705055146,1.3016990447380312,0.3754815064477872,0.36847684931755065,0.0829151297239912,0.618978483577348,0.148010512197754
