benchmark,method,prediction_dir,sample_count,psnr_mean,psnr_std,rmse_mean,rmse_std,ssim_mean,ssim_std,gradient_ratio_mean,gradient_ratio_std,lpips_mean,lpips_std,perceptual_ratio_mean,perceptual_ratio_std
msg-mtg,Stage1-050k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_050000,500,23.82878792572992,4.419064150119188,0.07379365400255412,0.044494091468806646,0.7684546491503715,0.10219044771560215,0.8556110692721901,0.20757825291656665,0.24276576127111912,0.06569060041701674,0.4021256403578351,0.09432855607038634
msg-mtg,Stage1-055k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_055000,500,23.866570636013222,4.41115073134316,0.07350035501929218,0.04428800531575377,0.7709566621184349,0.09992493081964209,0.7912459123082567,0.1758394177411157,0.2411208388209343,0.0646031782201489,0.39929962743019254,0.09022462250517041
msg-mtg,Stage1-060k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_060000,500,23.66785082873488,4.406172479374806,0.07512594802052243,0.04511704031477241,0.7645599242448807,0.10408670086367514,0.8760727647210054,0.21836202875274185,0.23684474466741084,0.06816492138580933,0.3895676186573153,0.0889173254987728
msg-mtg,Stage1-065k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_065000,500,24.35198546448388,4.320474154129934,0.06929052098714325,0.042312057465416664,0.771292632818222,0.09985857323479057,0.7198095329376669,0.15732302990522254,0.24514531961083413,0.0658947653186267,0.406891720525791,0.0968261825780249
msg-mtg,Stage1-070k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_070000,500,24.04995119912188,4.450089067071297,0.07221294041440897,0.044413806775516484,0.7734044206142425,0.1003149251560311,0.7890465380223013,0.19119211074235865,0.2456561998128891,0.06578151872862736,0.40699438652444847,0.09327338068345067
msg-mtg,Stage1-075k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_075000,500,23.945589970403468,4.50057716759154,0.07317898388711339,0.04480754677502657,0.7732135580182076,0.09993150057256363,0.8422268609235896,0.21303329250041553,0.25177973972260953,0.07023676829270689,0.4140424140883673,0.08950652030882053
msg-mtg,Stage1-080k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_080000,500,24.052967670719205,4.44052394054988,0.0721209214316751,0.044361888288892454,0.7744807245135308,0.09822854929602214,0.7570589990098929,0.18029374429075595,0.250597813218832,0.06883259354115699,0.41375399797754275,0.0921358995653724
msg-mtg,Stage1-085k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_085000,500,24.109816631490755,4.398787664065929,0.0714868977233754,0.04382918638110334,0.7678242174983024,0.10173258248232439,0.8122486619557745,0.2031019938405105,0.24758110600709915,0.06560326345353866,0.41078198740649174,0.09370019823183225
msg-mtg,Stage1-090k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_090000,500,23.906531776425645,4.54575515954635,0.07370160942452175,0.04535101296862317,0.7754435325264931,0.09777737908831391,0.8240476477464731,0.19299218480356975,0.2464774685949087,0.06846182094778247,0.40612703585603976,0.08828718521654562
msg-mtg,Stage1-095k,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage1_sweep/msg_mtg/step_095000,500,24.06161317205017,4.411810655508549,0.07189265351914588,0.04369062110570732,0.7720648855566978,0.10223190548598823,0.8191559459148449,0.20720125943160123,0.2426830976754427,0.06509394795480782,0.401510655003871,0.08934167877249516
