benchmark,method,prediction_dir,sample_count,psnr_mean,psnr_std,rmse_mean,rmse_std,ssim_mean,ssim_std,gradient_ratio_mean,gradient_ratio_std,lpips_mean,lpips_std,perceptual_ratio_mean,perceptual_ratio_std
msg-mtg,Bicubic,/share/data/drive_3/hanan/iclr2026_workshop/msg_mtg/bicubic_msg_mtg_pred,500,15.600690304333199,4.6382954200029625,0.19112897776645446,0.10521415637960604,0.6470302701592445,0.1837617577670173,0.1856658325083577,0.11528429187416535,0.6168701326847077,0.1497287879285686,1.0,0.0
msg-mtg,SwinIR,/share/data/drive_3/hanan/iclr2026_workshop/msg_mtg/swinir_classical_sr_x4,500,15.91738241842261,1.880085688764434,0.16363421881848747,0.033900256025030606,0.598987346291542,0.14338201063027153,0.5363964581494454,0.14065165040776442,0.7534051160216332,0.08141936349740862,1.2855116330170049,0.2923443002828241
msg-mtg,StableSR-a,/share/data/drive_3/hanan/iclr2026_workshop/msg_mtg/stablesr_output,500,8.927094001635094,3.9946442763142556,0.3936072081102076,0.16176068746352879,0.5145951268523932,0.19178543863555225,0.09497721021544879,0.16614005500496104,0.7648787906765938,0.1488643680224817,1.267547004403524,0.20215746047783287
msg-mtg,StableSR-b,/share/data/drive_3/hanan/iclr2026_workshop/msg_mtg/stablesr_output_2,500,18.761256999737377,2.431841215827913,0.12000899352748567,0.035586655201664485,0.45979289084672925,0.11725727226595248,2.942012222485344,0.9317946773089281,0.42930702182650565,0.073413855078229,0.749691930681882,0.27256269973977254
msg-mtg,SinSR-a,/share/data/drive_3/hanan/iclr2026_workshop/msg_mtg/sinsr_output,500,11.190361278321863,2.4524840525511635,0.2862907303944932,0.07493731331265797,0.5161907106637955,0.15073369610810272,0.046145728509261574,0.02453978884668415,0.8110747633576393,0.08048909454753687,1.3802550401040963,0.29017676943467663
msg-mtg,SinSR-b,/share/data/drive_3/hanan/iclr2026_workshop/msg_mtg/sinsr_output_2,500,24.29232816749083,4.16869067599693,0.06907175221387159,0.04064629603112773,0.6894777038097382,0.13580432090753136,0.9657866168425158,0.23296896156178853,0.29893439627438784,0.09291474095755121,0.48817865439859426,0.1142401645795222
msg-mtg,InvSR-zero-shot,/share/data/drive_3/hanan/iclr2026_workshop/msg_mtg/results_invsr_zeroshot,500,21.077112362403103,3.1053491683083196,0.0944824053507514,0.038936300046715784,0.6014295313358307,0.10971801197902446,1.7418886151505795,0.4260916888766654,0.3211120653748512,0.05361556533171217,0.5529707471106483,0.16573229654769778
msg-mtg,Stage1,/share/data/drive_3/hanan/iclr2026_workshop/msg_mtg/results_invsr_ours_stage1,500,23.82878792572992,4.419064150119188,0.07379365400255412,0.044494091468806646,0.7684546491503715,0.10219044771560215,0.8556110692721901,0.20757825291656665,0.24276575689017774,0.06569060218166473,0.40212558912560126,0.09432855054936981
msg-mtg,Stage2,/share/data/drive_3/hanan/iclr2026_workshop/journal_stage2_checkpoint_sweep/msg_mtg_part_a/step_035000,500,23.65709435140988,3.770449734663251,0.07289179277086644,0.040156166930634965,0.7222465003728866,0.10811272697523619,0.9127502536805322,0.28769740766062474,0.2902957008332014,0.0975781360580139,0.47811733440478243,0.12331410799456387
